imagen_path,width,height,formato,modo,bits
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00008_descongelACE.JPEG,241,564,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00020_descongelACE.JPEG,204,534,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00014_descongelACE.JPEG,263,583,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00025_descongelACE.JPEG,325,339,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00011_descongelACE.JPEG,259,589,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00009_descongelACE.JPEG,517,1277,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00021_descongelACE.JPEG,356,590,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00015_descongelACE.JPEG,175,537,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00024_descongelACE.JPEG,234,556,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00010_descongelACE.JPEG,129,497,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00022_descongelACE.JPEG,288,550,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00016_descongelACE.JPEG,261,564,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00027_descongelACE.JPEG,729,764,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00013_descongelACE.JPEG,551,1231,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00023_descongelACE.JPEG,553,1232,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00017_descongelACE.JPEG,250,569,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00026_descongelACE.JPEG,333,350,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00012_descongelACE.JPEG,259,573,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00007_descongelACE.JPEG,256,624,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00033_descongelACE.JPEG,465,861,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00002_descongelACE.JPEG,269,563,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00006_descongelACE.JPEG,720,960,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00032_descongelACE.JPEG,223,404,JPEG,RGB,8
